video_id,duration,commentCount,dislikeCount,favoriteCount,likeCount,viewCount,timestamp
Hq89wYzOjfs,3296,0,457,0,8200,755351,2019-04-06 11:56:55.248234
vZzIS17HexE,248,100,119,0,952,68389,2019-04-06 11:56:56.770947
yZGSIpcAfEo,0,0,0,0,0,0,2019-04-06 11:56:58.126196
zxUwbflE1SY,166,6289,410,0,18295,1396528,2019-04-06 11:56:59.298810
7oRdswHqaf8,352,594,54,0,3228,77563,2019-04-06 11:57:00.452256
qC0I5PEhkJo,177,35,16,0,183,125581,2019-04-06 11:57:01.713340
0zk2SwmCpss,248,324,18,0,1216,122332,2019-04-06 11:57:02.945152
SGVbdo2CkgI,318,224,163,0,9822,551991,2019-04-06 11:57:04.166793
NfLVVJOuY5M,214,623,88,0,18712,495578,2019-04-06 11:57:05.739060
F388-6yDDpc,536,3190,673,0,7102,1323696,2019-04-06 11:57:07.266616
KhdecX0qjNA,222,393,146,0,14589,521014,2019-04-06 11:57:08.717275
kWIzjMWmuYk,366,1743,47,0,6487,61873,2019-04-06 11:57:10.219967
symdi5KSJts,167,966,740,0,32379,1765973,2019-04-06 11:57:11.640699
5hEJsoDP2q4,226,2744,1478,0,62370,1651799,2019-04-06 11:57:12.906003
lBHPVE3AI6Y,233,446,58,0,459,135713,2019-04-06 11:57:14.369252
kIUHDwn51y8,138,754,86,0,5166,320755,2019-04-06 11:57:15.493637
Lz7dya576HY,352,92,62,0,905,89804,2019-04-06 11:57:16.987542
kqmhCaF5_44,220,171,149,0,1947,140397,2019-04-06 11:57:18.405823
eAyxMv4IBH8,137,355,376,0,7051,494490,2019-04-06 11:57:19.675760
EJu_wPGFTw0,270,6,4,0,59,12225,2019-04-06 11:57:20.812819
MKLlDnUqho4,162,443,191,0,5175,137117,2019-04-06 11:57:22.018245
wwZ-T_WQ03A,826,1942,1797,0,27001,1702556,2019-04-06 11:57:23.378891
i-LCORFB860,206,437,675,0,2483,2834180,2019-04-06 11:57:24.992768
vWYyZMH_QjA,197,521,118,0,5511,81317,2019-04-06 11:57:26.681610
VJlSq6h0LNg,1761,60,60,0,17,7407,2019-04-06 11:57:27.959967
ijJPFowBsBc,1047,349,215,0,5480,203438,2019-04-06 11:57:29.356011
HBS9783c0BI,0,0,0,0,0,0,2019-04-06 11:57:30.873865
JwboxqDylgg,12728,72,39,0,352,57570,2019-04-06 11:57:32.171889
1WDj0DddCcM,646,12,36,0,11,7124,2019-04-06 11:57:33.690154
bqgVB6Vl-lI,601,1519,1145,0,80581,6934741,2019-04-06 11:57:35.205934
ZhSk8mPSWCg,75,23,5,0,52,4954,2019-04-06 11:57:36.851809
qooQd8AA7_M,201,62579,37879,0,1186934,111511435,2019-04-06 11:57:38.226773
9KIP-Ncp2jU,111,9,62,0,294,123394,2019-04-06 11:57:39.685631
i4YQRLQVixM,95,1105,1030,0,3051,1364437,2019-04-06 11:57:41.238199
Fyyua5JzD9w,52,31,11,0,429,56914,2019-04-06 11:57:42.459974
9Th4qTv-4jE,95,28,5,0,77,43628,2019-04-06 11:57:44.045546
uTH--XRCGxM,67,235,135,0,12995,513403,2019-04-06 11:57:45.183695
ttf_EzEkxBk,172,5175,3629,0,6247,3749817,2019-04-06 11:57:46.607824
l7je4VAUvjA,52,0,138,0,320,153071,2019-04-06 11:57:48.139884
8-Cjsnq8kVU,130,18327,9516,0,454338,20361801,2019-04-06 11:57:49.272721
hpapqEeb36k,233,2646,1213,0,59427,2296209,2019-04-06 11:57:50.700836
cmoknv58jjE,855,10004,9773,0,76568,3306007,2019-04-06 11:57:51.831075
sottGW1p5os,701,14308,3614,0,331197,16256443,2019-04-06 11:57:53.000387
EEIP1YpFXrE,415,13651,1762,0,96955,4790951,2019-04-06 11:57:54.199863
pgjRX9oGF7g,333,8666,1806,0,36327,1236365,2019-04-06 11:57:55.614437
_BVAJ3PXZ1k,387,3207,1391,0,25850,1465630,2019-04-06 11:57:57.015856
8hKbIhrb1WU,355,7178,3533,0,136030,10679800,2019-04-06 11:57:58.336685
RTaDvKMtUeA,206,887,734,0,26985,2149269,2019-04-06 11:57:59.472280
jG1JY0rt2Os,217,22946,12778,0,352378,25426259,2019-04-06 11:58:00.622662
RrhSJzM8NLE,395,1292,1390,0,25723,2440291,2019-04-06 11:58:01.732133
0gwkMY-mzUQ,31,1745,1129,0,41068,1491446,2019-04-06 11:58:02.970015
UwdLlnPaRAU,435,3656,844,0,74671,3404062,2019-04-06 11:58:04.098252
ve3oQBjcAGI,916,14577,4446,0,75512,4093715,2019-04-06 11:58:05.645911
C4YNcqNF4hg,318,1186,480,0,47246,2507342,2019-04-06 11:58:07.192605
k1cA-Wh3Tc0,1227,8804,2385,0,32618,2183269,2019-04-06 11:58:08.701360
Mn-3c6of8t8,105,2078,650,0,20077,595456,2019-04-06 11:58:10.232240
TN5jzDgORqQ,111,435,413,0,6522,1046801,2019-04-06 11:58:11.600461
9Ca8zWJOlFQ,955,16814,6459,0,126035,5601530,2019-04-06 11:58:12.740455
mcqWcLDUeag,0,0,0,0,0,0,2019-04-06 11:58:14.030752
4SANXNco_y4,203,459,258,0,5618,264966,2019-04-06 11:58:15.273034
-oXybog2IuI,411,156,25,0,1834,74556,2019-04-06 11:58:16.652240
oRF2-ZloSqg,310,2185,631,0,20519,1109506,2019-04-06 11:58:18.089558
lzgQrHFDNLE,211,1011,1355,0,11294,471373,2019-04-06 11:58:19.271457
0ANDjPQPS_Q,754,486,100,0,3805,40549,2019-04-06 11:58:20.635813
4ftGS_6i7mM,53,33,17,0,145,42657,2019-04-06 11:58:21.772071
upEIZAihcwo,0,0,0,0,0,0,2019-04-06 11:58:23.052166
Jidk0O6uu-0,181,516,66,0,5739,126728,2019-04-06 11:58:24.708011
64IIfxDrhJY,137,195,55,0,1242,166170,2019-04-06 11:58:26.339304
k-w8GxCpsCU,78,7,1,0,67,16639,2019-04-06 11:58:27.485302
yxFdue1dCtE,1382,288,70,0,2046,145177,2019-04-06 11:58:28.899468
aAm6AHr14zY,0,0,0,0,0,0,2019-04-06 11:58:30.464474
ryqZUqgjvW8,657,1051,474,0,2701,114111,2019-04-06 11:58:31.670719
I-5CODzeGEE,740,1208,150,0,8127,193077,2019-04-06 11:58:32.790230
FEjZiCPuvqQ,159,563,64,0,2814,90741,2019-04-06 11:58:34.462251
ENr6CXm1YxU,194,155,158,0,5248,432594,2019-04-06 11:58:35.692275
3x0usYgljOk,149,88,5,0,307,21081,2019-04-06 11:58:37.065509
R9c-_neaxeU,839,907,101,0,9673,280916,2019-04-06 11:58:38.460427
VonJ4ASDO40,503,2681,949,0,12173,666588,2019-04-06 11:58:39.644718
iyrefjMs64k,1089,972,893,0,2495,92566,2019-04-06 11:58:40.895481
GKUE2U2qlzY,115,563,140,0,9914,1346416,2019-04-06 11:58:42.053000
N0tmF4j4K6g,200,174,22,0,2679,77991,2019-04-06 11:58:43.265060
SFdO-19Xdho,224,316,132,0,10461,857727,2019-04-06 11:58:44.832254
qK8AcryiniI,30,33,22,0,62,76784,2019-04-06 11:58:46.170793
KLZl_sxSN_g,159,0,0,0,4,1781,2019-04-06 11:58:47.361133
QKwgif8OW1w,40,2,0,0,12,2505,2019-04-06 11:58:48.651671
-JVITToppE0,870,4,2,0,9,762,2019-04-06 11:58:49.940370
sH0Agabp3Rs,133,249,9,0,471,24977,2019-04-06 11:58:51.138895
eijd-yjXY9E,251,111,38,0,820,26742,2019-04-06 11:58:52.763665
fGTfbMioezc,45,78,37,0,605,90753,2019-04-06 11:58:54.273882
8tbQHHso0oY,33,1370,351,0,2242,1437882,2019-04-06 11:58:55.675241
G8gJ4RTBxcg,35,67,23,0,155,581669,2019-04-06 11:58:57.063423
fRj34o4hN4I,55,39498,6247,0,250452,17142221,2019-04-06 11:58:58.494930
coOKvrsmQiI,153,31667,18733,0,254203,42222461,2019-04-06 11:58:59.601333
