channel_title,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
REACT,UCHEf6T_gVq4tlW5i91ESiWg,2013-07-30T10:19:47.000Z,11054025,1597,3562399984,2019-04-07 14:40:33.694155
First We Feast,,,0,0,0,2019-04-07 14:40:34.738536
Brian Hull,,,0,0,0,2019-04-07 14:40:35.778965
William Osman,,,0,0,0,2019-04-07 14:40:36.819366
Access Hollywood,,,0,0,0,2019-04-07 14:40:37.858985
emma chamberlain,,,0,0,0,2019-04-07 14:40:38.897495
Now You See It,,,0,0,0,2019-04-07 14:40:39.935035
Dancing With The Stars,,,0,0,0,2019-04-07 14:40:40.973789
Summit,UCN25UziqiH2Xnd51FRWXk5Q,2005-11-29T12:39:09.000Z,23,0,0,2019-04-07 14:40:42.273305
reputationswift,,,0,0,0,2019-04-07 14:40:43.326629
DunkFest,UCoPtIvWD4IKLXb67m6Qpm8g,2006-07-02T03:51:17.000Z,7,1,9076,2019-04-07 14:40:44.466138
Cut,,,0,0,0,2019-04-07 14:40:45.516538
The Scran Line,,,0,0,0,2019-04-07 14:40:46.557934
MattMasonPhotography,UC5NuaA6wTMEi9nsd8wmd1Qg,2009-11-16T19:01:05.000Z,123,75,251375,2019-04-07 14:40:47.652432
Vanity Fair,,,0,0,0,2019-04-07 14:40:48.700102
Red Bull,,,0,0,0,2019-04-07 14:40:49.740538
BBCRadio1VEVO,UCKoafhJ9dkAWaEvlXCiBBwA,2015-10-26T12:45:03.000Z,1792908,515,584311824,2019-04-07 14:40:50.813175
Mark Ferris,,,0,0,0,2019-04-07 14:40:51.856859
todrickhall,UC1VYb0EKcZuy9rG3q0VR57Q,2006-05-27T08:30:06.000Z,3060015,566,622623057,2019-04-07 14:40:52.932431
Donut Media,,,0,0,0,2019-04-07 14:40:53.969892
Eater,UC6kiEQfHFfAo96jvIP-MT9w,2006-01-24T03:39:39.000Z,53,2,6586,2019-04-07 14:40:55.088110
HANSON,,,0,0,0,2019-04-07 14:40:56.136263
Frank May,,,0,0,0,2019-04-07 14:40:57.171703
NBA on ESPN,,,0,0,0,2019-04-07 14:40:58.218059
SIRAH,UC7txVvO1gwmiBGbq_u6h0lQ,2006-02-18T01:55:12.000Z,14,1,41,2019-04-07 14:40:59.359381
ScreenPrism,,,0,0,0,2019-04-07 14:41:00.401139
Valk Aviation,,,0,0,0,2019-04-07 14:41:01.448353
Shantell Martin,,,0,0,0,2019-04-07 14:41:02.485137
Gregg Peterson,,,0,0,0,2019-04-07 14:41:03.533607
Estée Lalonde,,,0,0,0,2019-04-07 14:41:04.572596
Canada Soccer,,,0,0,0,2019-04-07 14:41:05.616159
WLKY News Louisville,,,0,0,0,2019-04-07 14:41:06.653649
The Office US,,,0,0,0,2019-04-07 14:41:07.697791
Entertainment Weekly,,,0,0,0,2019-04-07 14:41:08.744872
12 News,,,0,0,0,2019-04-07 14:41:09.786946
Bkav Corp,,,0,0,0,2019-04-07 14:41:10.829464
Daelric,,,0,0,0,2019-04-07 14:41:11.874230
"monday.com, formerly dapulse",,,0,0,0,2019-04-07 14:41:12.915313
GQ,,,0,0,0,2019-04-07 14:41:13.976938
TMZSports,UCE3yf1AcIlXdps2EYbq3lzw,2013-09-25T03:50:59.000Z,526898,8230,547207731,2019-04-07 14:41:15.047353
Caters Clips,,,0,0,0,2019-04-07 14:41:16.088164
You Suck At Cooking,,,0,0,0,2019-04-07 14:41:17.133202
Tanner Braungardt,,,0,0,0,2019-04-07 14:41:18.185652
iHasCupquake,UCqg2eLFNUu3QN3dttNeOWkw,2010-08-20T04:33:17.000Z,6572090,4156,2670558430,2019-04-07 14:41:19.264051
FallOutBoyVEVO,UCe3I9BAVCzf9oACYU1EtrxA,2009-05-12T05:27:55.000Z,3741178,175,1848846087,2019-04-07 14:41:20.342421
alt-J,,,0,0,0,2019-04-07 14:41:21.388841
Demi Lovato,,,0,0,0,2019-04-07 14:41:22.432289
Matthias,,,0,0,0,2019-04-07 14:41:25.080777
Movie Munchies,,,0,0,0,2019-04-07 14:41:26.124210
Fueled By Ramen,,,0,0,0,2019-04-07 14:41:27.179600
Mental Floss,,,0,0,0,2019-04-07 14:41:28.250237
Pixielocks,UCE60OMKEc07ZIFGIepIiJJw,2007-05-12T16:47:22.000Z,6,10,4833,2019-04-07 14:41:29.407746
SHOWTIME Sports,,,0,0,0,2019-04-07 14:41:30.451188
Cody'sLab Backup,,,0,0,0,2019-04-07 14:41:31.499145
Paramount Pictures,,,0,0,0,2019-04-07 14:41:32.545658
Atlanta Hawks,,,0,0,0,2019-04-07 14:41:33.592256
NBA,UCWJ2lWNubArHWmf3FIHbfcQ,2005-11-21T01:20:33.000Z,11096986,30480,5494510248,2019-04-07 14:41:34.659751
ColliderVideos,UCWvMmm_sSdgALpo1Ci4WvtQ,2007-02-04T02:57:04.000Z,545601,8567,452358546,2019-04-07 14:41:35.742175
Jenny Nicholson,,,0,0,0,2019-04-07 14:41:36.783575
Big Cat Rescue,,,0,0,0,2019-04-07 14:41:37.836195
RachelPlattenVEVO,UCG-8AlopydqubtQLoNoqXLQ,2015-02-17T18:55:37.000Z,1155681,52,635421968,2019-04-07 14:41:38.926400
standupmaths,UCSju5G2aFaWMqn-_0YBtq5A,2009-09-10T10:58:11.000Z,448963,148,45051929,2019-04-07 14:41:40.000782
Wendy Williams,,,0,0,0,2019-04-07 14:41:41.054535
VICE,UCn8zNIfYAQNdrFRrr8oibKw,2005-12-16T04:20:47.000Z,10950528,2617,2176767387,2019-04-07 14:41:42.132913
BBC Earth,,,0,0,0,2019-04-07 14:41:43.180311
BBC Radio 1,,,0,0,0,2019-04-07 14:41:44.232706
Rappler,,,0,0,0,2019-04-07 14:41:45.280389
Sarasota Police Department,,,0,0,0,2019-04-07 14:41:46.355772
Vostok.bike,,,0,0,0,2019-04-07 14:41:47.407218
GoDucksdotcom,UC6hQ7rJDFcr0to1nC4XVegQ,2011-11-02T15:09:43.000Z,43513,3768,21866431,2019-04-07 14:41:48.497592
Hybrid Network,,,0,0,0,2019-04-07 14:41:49.537993
Mark Linsangan,,,0,0,0,2019-04-07 14:41:50.574400
LOFTON SHAW,,,0,0,0,2019-04-07 14:41:51.609802
BellatorMMA,UCnkMTsKYqhHm6l6GQzg4szg,2009-03-16T20:39:11.000Z,385692,1718,113705106,2019-04-07 14:41:52.677286
New Scientist,,,0,0,0,2019-04-07 14:41:53.723683
Warner Bros. Pictures,,,0,0,0,2019-04-07 14:41:54.766086
LuisFonsiVEVO,UCLp8RBhQHu9wSsq62j_Md6A,2009-05-12T05:28:36.000Z,18356882,66,10611992495,2019-04-07 14:41:55.837618
Kurzgesagt – In a Nutshell,,,0,0,0,2019-04-07 14:41:56.879057
ibighit,UC3IZKseVpdzPSBaWxBxundA,2008-06-04T08:23:22.000Z,22836379,301,5078755311,2019-04-07 14:41:57.949615
jacksfilms,UCPcFg7aBbaVzXoIKSNqwaww,2006-06-27T03:02:27.000Z,4567268,1105,1999143114,2019-04-07 14:41:59.030132
The Talk,,,0,0,0,2019-04-07 14:42:00.069750
Austin Evans,,,0,0,0,2019-04-07 14:42:01.116258
The Verge,,,0,0,0,2019-04-07 14:42:02.158660
MariahCareyVEVO,UClS0wn3LPs9jdX_yt2g1k8w,2009-05-12T05:28:40.000Z,3255334,176,3614152133,2019-04-07 14:42:03.247108
CollegeHumor,UCPDXXXJj9nax0fr0Wfc048g,2006-10-09T14:14:10.000Z,13333813,3370,6901449524,2019-04-07 14:42:04.318766
Chris Stuckmann,,,0,0,0,2019-04-07 14:42:05.364443
MassLive,,,0,0,0,2019-04-07 14:42:06.429872
Klossy,,,0,0,0,2019-04-07 14:42:07.491261
Björk,,,0,0,0,2019-04-07 14:42:08.532267
DJSnakeVEVO,UCGkSXL5saM8y3VvJD_PdMFQ,2014-01-27T17:49:09.000Z,6682732,25,3858192840,2019-04-07 14:42:09.619838
