channel_title,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
GQ,,,0,0,0,2019-04-07 15:09:09.006896
TMZSports,UCE3yf1AcIlXdps2EYbq3lzw,2013-09-25T03:50:59.000Z,526919,8230,547219177,2019-04-07 15:09:10.085376
Caters Clips,,,0,0,0,2019-04-07 15:09:11.130949
You Suck At Cooking,,,0,0,0,2019-04-07 15:09:12.174077
Tanner Braungardt,,,0,0,0,2019-04-07 15:09:13.210419
iHasCupquake,UCqg2eLFNUu3QN3dttNeOWkw,2010-08-20T04:33:17.000Z,6572109,4156,2670566096,2019-04-07 15:09:14.290697
FallOutBoyVEVO,UCe3I9BAVCzf9oACYU1EtrxA,2009-05-12T05:27:55.000Z,3741178,175,1848862141,2019-04-07 15:09:15.381615
alt-J,,,0,0,0,2019-04-07 15:09:16.428444
Demi Lovato,,,0,0,0,2019-04-07 15:09:17.472429
Matthias,,,0,0,0,2019-04-07 15:09:18.531122
Movie Munchies,,,0,0,0,2019-04-07 15:09:19.577898
Fueled By Ramen,,,0,0,0,2019-04-07 15:09:20.615846
Mental Floss,,,0,0,0,2019-04-07 15:09:21.662620
Pixielocks,UCE60OMKEc07ZIFGIepIiJJw,2007-05-12T16:47:22.000Z,6,10,4833,2019-04-07 15:09:22.818774
SHOWTIME Sports,,,0,0,0,2019-04-07 15:09:23.878165
Cody'sLab Backup,,,0,0,0,2019-04-07 15:09:24.921675
Paramount Pictures,,,0,0,0,2019-04-07 15:09:25.968482
Atlanta Hawks,,,0,0,0,2019-04-07 15:09:27.021717
NBA,UCWJ2lWNubArHWmf3FIHbfcQ,2005-11-21T01:20:33.000Z,11097127,30481,5494590635,2019-04-07 15:09:28.099815
ColliderVideos,UCWvMmm_sSdgALpo1Ci4WvtQ,2007-02-04T02:57:04.000Z,545610,8567,452363837,2019-04-07 15:09:29.165588
Jenny Nicholson,,,0,0,0,2019-04-07 15:09:30.210497
Big Cat Rescue,,,0,0,0,2019-04-07 15:09:31.254490
RachelPlattenVEVO,UCG-8AlopydqubtQLoNoqXLQ,2015-02-17T18:55:37.000Z,1155681,52,635431167,2019-04-07 15:09:32.335625
standupmaths,UCSju5G2aFaWMqn-_0YBtq5A,2009-09-10T10:58:11.000Z,448966,148,45053952,2019-04-07 15:09:33.422616
Wendy Williams,,,0,0,0,2019-04-07 15:09:34.456573
VICE,UCn8zNIfYAQNdrFRrr8oibKw,2005-12-16T04:20:47.000Z,10950743,2617,2176828027,2019-04-07 15:09:35.537859
BBC Earth,,,0,0,0,2019-04-07 15:09:36.600283
BBC Radio 1,,,0,0,0,2019-04-07 15:09:37.646621
Rappler,,,0,0,0,2019-04-07 15:09:38.706444
Sarasota Police Department,,,0,0,0,2019-04-07 15:09:39.750623
Vostok.bike,,,0,0,0,2019-04-07 15:09:40.784996
GoDucksdotcom,UC6hQ7rJDFcr0to1nC4XVegQ,2011-11-02T15:09:43.000Z,43514,3768,21866519,2019-04-07 15:09:41.877150
Hybrid Network,,,0,0,0,2019-04-07 15:09:42.922261
Mark Linsangan,,,0,0,0,2019-04-07 15:09:43.983487
LOFTON SHAW,,,0,0,0,2019-04-07 15:09:45.030261
BellatorMMA,UCnkMTsKYqhHm6l6GQzg4szg,2009-03-16T20:39:11.000Z,385710,1718,113708172,2019-04-07 15:09:46.108313
New Scientist,,,0,0,0,2019-04-07 15:09:47.134659
Warner Bros. Pictures,,,0,0,0,2019-04-07 15:09:48.174187
LuisFonsiVEVO,UCLp8RBhQHu9wSsq62j_Md6A,2009-05-12T05:28:36.000Z,18356885,66,10612158532,2019-04-07 15:09:49.240634
Kurzgesagt – In a Nutshell,,,0,0,0,2019-04-07 15:09:50.279189
ibighit,UC3IZKseVpdzPSBaWxBxundA,2008-06-04T08:23:22.000Z,22838828,301,5079075589,2019-04-07 15:09:51.359773
jacksfilms,UCPcFg7aBbaVzXoIKSNqwaww,2006-06-27T03:02:27.000Z,4567273,1105,1999154493,2019-04-07 15:09:52.422715
The Talk,,,0,0,0,2019-04-07 15:09:53.457092
Austin Evans,,,0,0,0,2019-04-07 15:09:54.507169
The Verge,,,0,0,0,2019-04-07 15:09:55.540294
MariahCareyVEVO,UClS0wn3LPs9jdX_yt2g1k8w,2009-05-12T05:28:40.000Z,3255334,176,3614188005,2019-04-07 15:09:56.631510
