video_id,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
Vfugwq2uoa0,UCWOA1ZGywLbqmigxE4Qlvuw,2012-07-17T20:45:36.000Z,8500967,2774,1719691802,2019-04-08 11:11:54.971010
EgUMLjp3H4E,UCHcMtE3EiKmqrJZBZyUBuRQ,2007-01-16T12:28:09.000Z,575342,1298,320894121,2019-04-08 11:11:56.195976
JqIkzS2wSz8,,,0,0,0,2019-04-08 11:11:57.414473
lbFzL-0pEeU,,,0,0,0,2019-04-08 11:11:58.597928
vecSVX1QYbQ,UCWxCyZibDIWIrGIgP25mbfw,2014-09-03T02:28:23.000Z,5239532,360,1184672683,2019-04-08 11:11:59.905715
Epm5_DSfMn4,,,0,0,0,2019-04-08 11:12:01.064233
wqS9QwOIH3s,UC5iQeykKsXWVsqr_7k4oU-A,2011-09-03T17:50:47.000Z,951039,144,44935528,2019-04-08 11:12:02.412140
Bx1aWLcUF3A,UCBi2mrWuNuyYy4gbM6fU18Q,2006-08-07T23:12:21.000Z,5775900,46285,5115800372,2019-04-08 11:12:08.162544
z7WjD5G5ZuY,UCXGVsie-SIk3e3wJmUTyEhw,2006-04-11T02:08:40.000Z,107039,91,41180712,2019-04-08 11:12:09.369379
mWaY32HWjKE,,,0,0,0,2019-04-08 11:12:10.801676
dhOMtP72o2Y,UCUSElbgKZpE4Xdh5aFWG-Ig,2010-02-12T07:04:55.000Z,84630,215,23003986,2019-04-08 11:12:12.078141
AmZJwThOfzE,,,0,0,0,2019-04-08 11:12:18.278224
lpkRFHSpvGI,UCqFzWxSCi39LnW1JKFR3efg,2013-07-23T21:32:27.000Z,7868967,6721,6138038485,2019-04-08 11:12:19.596588
M3mJkSqZbX4,UCFzm6oAGFmmZfkrzQ5wATSQ,2012-04-09T20:09:28.000Z,3976795,50,1813829348,2019-04-08 11:12:20.936038
pzPtlmzwajA,UCupvZG-5ko_eiXAupbDfxWw,2005-10-02T16:06:36.000Z,6491355,144912,4505946525,2019-04-08 11:12:22.149347
1KG8Qha7uXw,UC1OPrWsN6DF8MDlkS78t4SA,2014-03-13T22:04:21.000Z,47053,68,7435627,2019-04-08 11:12:23.374112
HysgiQT5_eI,UCeTKJSW1NTAkf27nNmjWt5A,2007-12-05T13:02:47.000Z,335781,6414,216230501,2019-04-08 11:12:29.597868
uLWBWUwIx64,UCMNmwqCtCSpftrbvR3KkHDA,2006-07-18T07:06:47.000Z,13407820,1293,5478242720,2019-04-08 11:12:30.817260
vorkmWa7He8,UCXuqSBlHAE6Xw-yeJA0Tunw,2008-11-25T00:46:52.000Z,8455948,4537,2559270470,2019-04-08 11:12:32.013850
IIyZuKN2j7U,UCsVcseUYbYjldc-XgcsiEbg,2006-09-26T07:04:07.000Z,2097382,5405,810322278,2019-04-08 11:12:33.223565
KXBYn9cwl7U,UCq0OueAsdxH6b8nyAspwViw,2006-06-19T12:06:41.000Z,2162851,763,1523111849,2019-04-08 11:12:34.423817
FGI7iaAIN3U,UCsZsDjpf2Ppv_cT2K6_q2cw,2007-06-03T18:46:10.000Z,1844022,1568,387930986,2019-04-08 11:12:35.643355
nUDX6OCXEyc,UC7azsssU_6geqrRmi-iuGLQ,2010-01-12T23:11:52.000Z,392779,414,49006860,2019-04-08 11:12:36.855779
NBgNCDF4lG8,UCpd21W3qWyzIl8-PXvyDA2g,2009-05-12T05:29:46.000Z,1049554,100,1214699874,2019-04-08 11:12:38.124616
rew7FoGy1Po,UCPDXXXJj9nax0fr0Wfc048g,2006-10-09T14:14:10.000Z,13334651,3371,6902824082,2019-04-08 11:12:39.486188
