channel_title,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
iHasCupquake,UCqg2eLFNUu3QN3dttNeOWkw,2010-08-20T04:33:17.000Z,6572166,4156,2670591180,2019-04-07 16:28:08.749865
FallOutBoyVEVO,UCe3I9BAVCzf9oACYU1EtrxA,2009-05-12T05:27:55.000Z,3741178,175,1848910633,2019-04-07 16:28:09.832240
alt-J,,,0,0,0,2019-04-07 16:28:10.874641
Demi Lovato,,,0,0,0,2019-04-07 16:28:11.915091
Matthias,,,0,0,0,2019-04-07 16:28:12.959490
Movie Munchies,,,0,0,0,2019-04-07 16:28:13.995894
Fueled By Ramen,,,0,0,0,2019-04-07 16:28:15.039294
Mental Floss,,,0,0,0,2019-04-07 16:28:16.082560
Pixielocks,UCE60OMKEc07ZIFGIepIiJJw,2007-05-12T16:47:22.000Z,6,10,4833,2019-04-07 16:28:17.192742
SHOWTIME Sports,,,0,0,0,2019-04-07 16:28:18.229444
Cody'sLab Backup,,,0,0,0,2019-04-07 16:28:19.265164
Paramount Pictures,,,0,0,0,2019-04-07 16:28:20.303565
Atlanta Hawks,,,0,0,0,2019-04-07 16:28:21.342967
NBA,UCWJ2lWNubArHWmf3FIHbfcQ,2005-11-21T01:20:33.000Z,11097540,30482,5494811309,2019-04-07 16:28:22.412352
ColliderVideos,UCWvMmm_sSdgALpo1Ci4WvtQ,2007-02-04T02:57:04.000Z,545642,8567,452378319,2019-04-07 16:28:23.487965
Jenny Nicholson,,,0,0,0,2019-04-07 16:28:24.542568
Big Cat Rescue,,,0,0,0,2019-04-07 16:28:25.587983
RachelPlattenVEVO,UCG-8AlopydqubtQLoNoqXLQ,2015-02-17T18:55:37.000Z,1155681,52,635457401,2019-04-07 16:28:26.678471
standupmaths,UCSju5G2aFaWMqn-_0YBtq5A,2009-09-10T10:58:11.000Z,448985,148,45059537,2019-04-07 16:28:27.754927
Wendy Williams,,,0,0,0,2019-04-07 16:28:28.804344
VICE,UCn8zNIfYAQNdrFRrr8oibKw,2005-12-16T04:20:47.000Z,10951335,2617,2177005862,2019-04-07 16:28:29.867846
BBC Earth,,,0,0,0,2019-04-07 16:28:30.912415
BBC Radio 1,,,0,0,0,2019-04-07 16:28:31.951098
Rappler,,,0,0,0,2019-04-07 16:28:33.000933
Sarasota Police Department,,,0,0,0,2019-04-07 16:28:34.042391
Vostok.bike,,,0,0,0,2019-04-07 16:28:35.082567
GoDucksdotcom,UC6hQ7rJDFcr0to1nC4XVegQ,2011-11-02T15:09:43.000Z,43513,3768,21866820,2019-04-07 16:28:36.150949
Hybrid Network,,,0,0,0,2019-04-07 16:28:37.197461
Mark Linsangan,,,0,0,0,2019-04-07 16:28:38.242976
LOFTON SHAW,,,0,0,0,2019-04-07 16:28:39.282415
BellatorMMA,UCnkMTsKYqhHm6l6GQzg4szg,2009-03-16T20:39:11.000Z,385740,1718,113716638,2019-04-07 16:28:40.379983
New Scientist,,,0,0,0,2019-04-07 16:28:41.424560
Warner Bros. Pictures,,,0,0,0,2019-04-07 16:28:42.470075
LuisFonsiVEVO,UCLp8RBhQHu9wSsq62j_Md6A,2009-05-12T05:28:36.000Z,18356883,66,10612679778,2019-04-07 16:28:43.547907
Kurzgesagt – In a Nutshell,,,0,0,0,2019-04-07 16:28:44.586555
ibighit,UC3IZKseVpdzPSBaWxBxundA,2008-06-04T08:23:22.000Z,22844446,301,5082482574,2019-04-07 16:28:45.657038
jacksfilms,UCPcFg7aBbaVzXoIKSNqwaww,2006-06-27T03:02:27.000Z,4567281,1105,1999188116,2019-04-07 16:28:46.725861
The Talk,,,0,0,0,2019-04-07 16:28:47.770684
Austin Evans,,,0,0,0,2019-04-07 16:28:48.818137
The Verge,,,0,0,0,2019-04-07 16:28:49.861663
MariahCareyVEVO,UClS0wn3LPs9jdX_yt2g1k8w,2009-05-12T05:28:40.000Z,3255120,176,3614294511,2019-04-07 16:28:50.944624
CollegeHumor,UCPDXXXJj9nax0fr0Wfc048g,2006-10-09T14:14:10.000Z,13333881,3370,6901599114,2019-04-07 16:28:52.028381
Chris Stuckmann,,,0,0,0,2019-04-07 16:28:53.072095
MassLive,,,0,0,0,2019-04-07 16:28:54.119996
Klossy,,,0,0,0,2019-04-07 16:28:55.167801
